id,airport_code,name,distance_km,star_rating,guest_score,review_count,price_per_night,has_shuttle,has_breakfast,address
1020,MZS,Taj City Centre (Sonbhadra Airport),4.6,3,8.9,855,10824,1,1,"Terminal Road, Near MZS Airport, Sonbhadra, India"
1021,UTL,FabHotel Airport Inn (Barmer Airport),6.5,3,9.5,1475,7484,1,1,"Terminal Road, Near UTL Airport, Barmer, India"
1022,TCR,Lemon Tree Premier (Thoothukudi (Tuticorin) Airport),7.5,4,8.7,1657,12239,1,0,"Terminal Road, Near TCR Airport, Thoothukudi (Tuticorin), India"
1023,NVM,Pride Plaza Hotel (Navi Mumbai Airport),7.3,3,9.7,503,3781,1,1,"Terminal Road, Near NVM Airport, Navi Mumbai, India"
1024,RKG,ITC Grand Bharat (Durgapur Airport),13.3,5,8.6,3651,10104,0,0,"Terminal Road, Near RKG Airport, Durgapur, India"
1025,PUI,ITC Grand Bharat (Purnea Airport),3.4,5,9.3,1503,10481,1,0,"Terminal Road, Near PUI Airport, Purnea, India"
1026,PNY,Ginger Airport Hotel (Puducherry Airport),5.3,4,9.4,1456,7093,1,1,"Terminal Road, Near PNY Airport, Puducherry, India"
1027,MRA,IBIS Airport Hotel (Noida / Jewar Airport),13.3,4,9.1,312,4500,0,1,"Terminal Road, Near MRA Airport, Noida / Jewar, India"
1028,ASL,FabHotel Airport Inn (Asansol Airport),12.8,5,9.7,259,11905,0,1,"Terminal Road, Near ASL Airport, Asansol, India"
1029,RAT,FabHotel Airport Inn (Ratlam Airport),12.2,3,8.3,699,6083,0,1,"Terminal Road, Near RAT Airport, Ratlam, India"
1030,AGX,IBIS Airport Hotel (Agatti Island (Lakshadweep) Airport),6.1,4,8.4,3003,7177,1,0,"Terminal Road, Near AGX Airport, Agatti Island (Lakshadweep), India"
1031,GON,Radisson Blu Airport (Gondia Airport),11.8,4,8.7,2747,2522,0,0,"Terminal Road, Near GON Airport, Gondia, India"
1032,SDW,Radisson Blu Airport (Sindhudurg Airport),7.7,3,8.3,2876,5135,1,0,"Terminal Road, Near SDW Airport, Sindhudurg, India"
1033,BTH,Pride Plaza Hotel (Bettiah Airport),7.1,3,8.5,1949,3658,1,1,"Terminal Road, Near BTH Airport, Bettiah, India"
1034,MAA,OYO Townhouse Airport (Chennai Airport),4.9,3,8.6,1782,5316,1,0,"Terminal Road, Near MAA Airport, Chennai, India"
1035,HSR,IBIS Airport Hotel (Rajkot Airport),10.8,4,9.5,3434,11023,0,1,"Terminal Road, Near HSR Airport, Rajkot, India"
1036,HZD,Trident Airport Hotel (Hazaribagh Airport),11.3,5,9.2,2651,4929,0,1,"Terminal Road, Near HZD Airport, Hazaribagh, India"
1037,GOI,OYO Townhouse Airport (Goa (Dabolim) Airport),0.9,5,8.6,2569,2375,1,0,"Terminal Road, Near GOI Airport, Goa (Dabolim), India"
1038,KOK,OYO Townhouse Airport (Kokrajhar Airport),2.8,4,8.7,2600,7568,1,0,"Terminal Road, Near KOK Airport, Kokrajhar, India"
1039,KOR,OYO Townhouse Airport (Koraput Airport),6.0,4,8.6,3463,2673,1,0,"Terminal Road, Near KOR Airport, Koraput, India"
1040,IXC,Hyatt Regency Terminal (Chandigarh Airport),2.7,5,9.0,1851,5010,1,1,"Terminal Road, Near IXC Airport, Chandigarh, India"
1041,LKO,Ginger Airport Hotel (Lucknow Airport),10.0,4,9.1,3560,8758,0,1,"Terminal Road, Near LKO Airport, Lucknow, India"
1042,AMB,OYO Townhouse Airport (Ambikapur Airport),13.4,3,8.3,1021,6810,0,0,"Terminal Road, Near AMB Airport, Ambikapur, India"
1043,JRH,Taj City Centre (Jorhat Airport),12.6,4,9.3,2146,11278,0,1,"Terminal Road, Near JRH Airport, Jorhat, India"
1044,RXL,Novotel Airport Hotel (Raxaul Airport),5.4,3,9.1,1204,6422,1,0,"Terminal Road, Near RXL Airport, Raxaul, India"
1045,PNQ,Taj City Centre (Pune Airport),13.4,4,9.8,202,11064,0,0,"Terminal Road, Near PNQ Airport, Pune, India"
1046,ZER,Novotel Airport Hotel (Ziro Airport),9.5,3,8.3,2945,6069,0,1,"Terminal Road, Near ZER Airport, Ziro, India"
1047,SLV,FabHotel Airport Inn (Shimla Airport),13.0,4,9.1,3270,3441,0,1,"Terminal Road, Near SLV Airport, Shimla, India"
1048,KUU,Novotel Airport Hotel (Kullu / Manali Airport),3.8,4,8.5,2377,10783,1,1,"Terminal Road, Near KUU Airport, Kullu / Manali, India"
1049,SLV,Pride Plaza Hotel (Shimla Airport),13.0,4,8.8,1172,8310,0,1,"Terminal Road, Near SLV Airport, Shimla, India"
1050,TRV,Ginger Airport Hotel (Thiruvananthapuram Airport),4.7,3,9.0,207,10860,1,1,"Terminal Road, Near TRV Airport, Thiruvananthapuram, India"
1051,NEEM,Ginger Airport Hotel (Neemuch Airport),9.9,4,8.1,2911,4907,0,1,"Terminal Road, Near NEEM Airport, Neemuch, India"
1052,DHR,Radisson Blu Airport (Dibrugarh Airport),4.3,4,9.0,172,11721,1,1,"Terminal Road, Near DHR Airport, Dibrugarh, India"
1053,NPL,Ginger Airport Hotel (Narnaul Airport),3.2,4,9.0,2857,8297,1,1,"Terminal Road, Near NPL Airport, Narnaul, India"
1054,BHO,Pride Plaza Hotel (Bhopal Airport),8.6,3,9.3,2339,4180,0,0,"Terminal Road, Near BHO Airport, Bhopal, India"
1055,MRA,OYO Townhouse Airport (Noida / Jewar Airport),6.9,4,9.0,1548,7465,1,1,"Terminal Road, Near MRA Airport, Noida / Jewar, India"
1056,NVY,Ginger Airport Hotel (Neyveli Airport),12.3,3,9.1,3601,9102,0,1,"Terminal Road, Near NVY Airport, Neyveli, India"
1057,SXV,IBIS Airport Hotel (Shivamogga Airport),3.0,3,9.6,3256,4162,1,1,"Terminal Road, Near SXV Airport, Shivamogga, India"
1058,MOR,Hyatt Regency Terminal (Moradabad Airport),2.4,5,9.0,2608,3131,1,0,"Terminal Road, Near MOR Airport, Moradabad, India"
1059, سات,ITC Grand Bharat (Satna Airport),12.2,5,9.2,1203,4827,0,1,"Terminal Road, Near  سات Airport, Satna, India"
1060,SSE,OYO Townhouse Airport (Solapur Airport),13.9,5,8.5,3189,3393,0,0,"Terminal Road, Near SSE Airport, Solapur, India"
1061,HIR,Trident Airport Hotel (Sambalpur Airport),13.6,5,9.8,3208,7497,0,1,"Terminal Road, Near HIR Airport, Sambalpur, India"
1062,JGA,Radisson Blu Airport (Jamnagar Airport),13.7,4,9.5,178,12470,0,0,"Terminal Road, Near JGA Airport, Jamnagar, India"
1063,LUD,Novotel Airport Hotel (Ludhiana Airport),4.1,3,9.4,2889,8057,1,0,"Terminal Road, Near LUD Airport, Ludhiana, India"
1064,CKU,OYO Townhouse Airport (Chakulia Airport),12.1,3,8.7,2079,4954,0,1,"Terminal Road, Near CKU Airport, Chakulia, India"
1065,DMU,ITC Grand Bharat (Dimapur Airport),5.7,3,8.7,166,11940,1,0,"Terminal Road, Near DMU Airport, Dimapur, India"
1066,BBI,Ginger Airport Hotel (Bhubaneswar Airport),11.2,4,9.7,2615,6684,0,0,"Terminal Road, Near BBI Airport, Bhubaneswar, India"
1067,WGC,Taj City Centre (Warangal Airport),2.7,4,8.3,2454,2881,1,1,"Terminal Road, Near WGC Airport, Warangal, India"
1068,SIV,Radisson Blu Airport (Sivasagar Airport),11.4,5,8.9,2380,5578,0,1,"Terminal Road, Near SIV Airport, Sivasagar, India"
1069,NMS,Ginger Airport Hotel (Naliya Airport),10.2,5,8.9,1960,7586,0,1,"Terminal Road, Near NMS Airport, Naliya, India"
1070,SSE,Hyatt Regency Terminal (Solapur Airport),12.9,3,9.6,2893,6006,0,1,"Terminal Road, Near SSE Airport, Solapur, India"
1071,SLN,FabHotel Airport Inn (Sultanpur Airport),6.2,3,8.9,464,4522,1,0,"Terminal Road, Near SLN Airport, Sultanpur, India"
1072,TCR,Lemon Tree Premier (Thoothukudi (Tuticorin) Airport),3.5,5,8.7,3668,3445,1,0,"Terminal Road, Near TCR Airport, Thoothukudi (Tuticorin), India"
1073,CCJ,FabHotel Airport Inn (Kozhikode (Calicut) Airport),7.3,5,9.2,1039,6963,1,0,"Terminal Road, Near CCJ Airport, Kozhikode (Calicut), India"
1074,BVC,Hyatt Regency Terminal (Bhavnagar Airport),10.5,3,8.5,3212,6371,0,0,"Terminal Road, Near BVC Airport, Bhavnagar, India"
1075,MZS,OYO Townhouse Airport (Sonbhadra Airport),2.5,3,9.1,1226,9304,1,0,"Terminal Road, Near MZS Airport, Sonbhadra, India"
1076,IXA,Trident Airport Hotel (Agartala Airport),1.8,5,9.8,269,11679,1,0,"Terminal Road, Near IXA Airport, Agartala, India"
1077, سات,Trident Airport Hotel (Satna Airport),10.1,3,9.4,476,3584,0,1,"Terminal Road, Near  سات Airport, Satna, India"
1078,KOK,Taj City Centre (Kokrajhar Airport),8.6,3,9.0,445,5370,0,0,"Terminal Road, Near KOK Airport, Kokrajhar, India"
1079,IXP,FabHotel Airport Inn (Pathankot Airport),7.9,5,8.9,522,4023,1,1,"Terminal Road, Near IXP Airport, Pathankot, India"
1080,SIH,ITC Grand Bharat (Sirohi Airport),9.1,5,9.3,3678,3661,0,1,"Terminal Road, Near SIH Airport, Sirohi, India"
1081,DGR,FabHotel Airport Inn (Deoghar Airport),7.4,3,8.5,3174,2507,1,1,"Terminal Road, Near DGR Airport, Deoghar, India"
1082,COB,Taj City Centre (Cooch Behar Airport),12.2,3,9.8,2638,10622,0,0,"Terminal Road, Near COB Airport, Cooch Behar, India"
1083,JGA,OYO Townhouse Airport (Jamnagar Airport),12.5,5,9.2,1778,2956,0,0,"Terminal Road, Near JGA Airport, Jamnagar, India"
1084,DBR,Lemon Tree Premier (Darbhanga Airport),4.8,4,8.9,3612,8852,1,0,"Terminal Road, Near DBR Airport, Darbhanga, India"
1085,BAR,IBIS Airport Hotel (Baramati Airport),2.9,3,8.9,3135,7534,1,1,"Terminal Road, Near BAR Airport, Baramati, India"
1086,HZD,FabHotel Airport Inn (Hazaribagh Airport),7.5,3,8.8,2918,4548,1,0,"Terminal Road, Near HZD Airport, Hazaribagh, India"
1087,DON,Ginger Airport Hotel (Bhadrak / Dhamra Airport),2.5,3,8.2,1884,6529,1,0,"Terminal Road, Near DON Airport, Bhadrak / Dhamra, India"
1088,NVM,Taj City Centre (Navi Mumbai Airport),9.5,4,9.8,234,4418,0,1,"Terminal Road, Near NVM Airport, Navi Mumbai, India"
1089,PBN,OYO Townhouse Airport (Parbhani Airport),5.4,4,8.3,2741,2590,1,1,"Terminal Road, Near PBN Airport, Parbhani, India"
1090,KBK,Pride Plaza Hotel (Kushinagar Airport),1.1,4,8.6,3325,8410,1,1,"Terminal Road, Near KBK Airport, Kushinagar, India"
1091,BAR,Taj City Centre (Baramati Airport),5.4,3,9.0,937,9468,1,0,"Terminal Road, Near BAR Airport, Baramati, India"
1092,PYG,ITC Grand Bharat (Gangtok / Pakyong (Sikkim) Airport),2.5,5,9.8,2467,3705,1,0,"Terminal Road, Near PYG Airport, Gangtok / Pakyong (Sikkim), India"
1093,PUI,Novotel Airport Hotel (Purnea Airport),3.0,4,9.0,2337,11705,1,1,"Terminal Road, Near PUI Airport, Purnea, India"
1094,AMD,Radisson Blu Airport (Ahmedabad Airport),0.8,3,9.1,1548,9711,1,1,"Terminal Road, Near AMD Airport, Ahmedabad, India"
1095,KJB,IBIS Airport Hotel (Kurnool (Orvakal) Airport),12.4,4,8.1,2027,3242,0,0,"Terminal Road, Near KJB Airport, Kurnool (Orvakal), India"
1096,DHR,Radisson Blu Airport (Dibrugarh Airport),7.5,4,8.8,170,8449,1,0,"Terminal Road, Near DHR Airport, Dibrugarh, India"
1097,LGP,ITC Grand Bharat (Rupsi / Dhubri Airport),4.1,5,9.1,3704,8786,1,0,"Terminal Road, Near LGP Airport, Rupsi / Dhubri, India"
1098,PAL,Ginger Airport Hotel (Pali Airport),10.4,3,8.9,151,6638,0,1,"Terminal Road, Near PAL Airport, Pali, India"
1099,KHO,Trident Airport Hotel (Khowai Airport),13.0,4,9.2,241,11410,0,1,"Terminal Road, Near KHO Airport, Khowai, India"
1100,KOP,OYO Townhouse Airport (Kolhapur Airport),11.7,5,8.5,1807,5202,0,0,"Terminal Road, Near KOP Airport, Kolhapur, India"
1101,JSA,Trident Airport Hotel (Jaisalmer Airport),5.5,3,9.2,1198,6038,1,0,"Terminal Road, Near JSA Airport, Jaisalmer, India"
1102,PUR,Novotel Airport Hotel (Purulia Airport),10.5,4,8.8,2759,11302,0,0,"Terminal Road, Near PUR Airport, Purulia, India"
1103,BVC,Pride Plaza Hotel (Bhavnagar Airport),12.6,4,8.4,2724,4310,0,1,"Terminal Road, Near BVC Airport, Bhavnagar, India"
1104,GWL,Novotel Airport Hotel (Gwalior Airport),10.3,4,9.7,2161,10634,0,0,"Terminal Road, Near GWL Airport, Gwalior, India"
1105,HIR,Radisson Blu Airport (Sambalpur Airport),6.7,3,9.5,3062,8678,1,1,"Terminal Road, Near HIR Airport, Sambalpur, India"
1106,WGC,Pride Plaza Hotel (Warangal Airport),4.9,4,8.7,315,4272,1,0,"Terminal Road, Near WGC Airport, Warangal, India"
1107,ATQ,FabHotel Airport Inn (Amritsar Airport),9.1,5,8.5,3241,3302,0,0,"Terminal Road, Near ATQ Airport, Amritsar, India"
1108,SIH,OYO Townhouse Airport (Sirohi Airport),0.7,4,9.6,3229,7477,1,1,"Terminal Road, Near SIH Airport, Sirohi, India"
1109,UDR,Radisson Blu Airport (Udaipur Airport),12.3,5,9.1,3231,1800,0,0,"Terminal Road, Near UDR Airport, Udaipur, India"
1110,TEZU,ITC Grand Bharat (Tezu Airport),1.0,5,8.3,908,4769,1,0,"Terminal Road, Near TEZU Airport, Tezu, India"
1111,AMR,Lemon Tree Premier (Amravati Airport),2.0,5,9.4,3309,5634,1,0,"Terminal Road, Near AMR Airport, Amravati, India"
1112,DGR,IBIS Airport Hotel (Deoghar Airport),6.5,5,9.8,734,8193,1,0,"Terminal Road, Near DGR Airport, Deoghar, India"
1113,KQH,Lemon Tree Premier (Ajmer / Kishangarh Airport),5.9,4,8.6,1428,12376,1,1,"Terminal Road, Near KQH Airport, Ajmer / Kishangarh, India"
1114,BHU,Ginger Airport Hotel (Bathinda Airport),0.7,4,9.7,1058,9665,1,0,"Terminal Road, Near BHU Airport, Bathinda, India"
1115,DON,IBIS Airport Hotel (Bhadrak / Dhamra Airport),12.0,5,9.1,249,7715,0,0,"Terminal Road, Near DON Airport, Bhadrak / Dhamra, India"
1116,NEEM,Taj City Centre (Neemuch Airport),13.0,4,8.2,2501,5159,0,1,"Terminal Road, Near NEEM Airport, Neemuch, India"
1117,PYB,IBIS Airport Hotel (Jeypore Airport),2.2,4,8.4,626,3268,1,1,"Terminal Road, Near PYB Airport, Jeypore, India"
1118,BBI,IBIS Airport Hotel (Bhubaneswar Airport),11.8,3,8.2,945,8772,0,1,"Terminal Road, Near BBI Airport, Bhubaneswar, India"
1119,DGR,OYO Townhouse Airport (Deoghar Airport),12.4,4,9.3,3061,4086,0,1,"Terminal Road, Near DGR Airport, Deoghar, India"
1120,IXY,FabHotel Airport Inn (Kandla Airport),9.5,4,8.1,2995,8596,0,1,"Terminal Road, Near IXY Airport, Kandla, India"
1121,AMRE,FabHotel Airport Inn (Amreli Airport),4.3,5,9.7,1304,5279,1,1,"Terminal Road, Near AMRE Airport, Amreli, India"
1122,PGH,FabHotel Airport Inn (Pantnagar / Nainital Airport),4.6,5,8.5,858,7449,1,0,"Terminal Road, Near PGH Airport, Pantnagar / Nainital, India"
1123,DEL,Novotel Airport Hotel (New Delhi Airport),7.7,5,8.2,3023,5984,1,1,"Terminal Road, Near DEL Airport, New Delhi, India"
1124,KHO,FabHotel Airport Inn (Khowai Airport),3.4,3,8.9,2963,10428,1,0,"Terminal Road, Near KHO Airport, Khowai, India"
1125,PNY,Novotel Airport Hotel (Puducherry Airport),7.5,3,8.8,253,5288,1,1,"Terminal Road, Near PNY Airport, Puducherry, India"
1126,KHA,Ginger Airport Hotel (Khandwa Airport),14.3,5,8.2,2079,4467,0,0,"Terminal Road, Near KHA Airport, Khandwa, India"
1127,SDW,Taj City Centre (Sindhudurg Airport),11.9,5,8.9,3207,5217,0,1,"Terminal Road, Near SDW Airport, Sindhudurg, India"
1128,TIR,Lemon Tree Premier (Tirupati Airport),9.8,4,8.7,1640,2211,0,0,"Terminal Road, Near TIR Airport, Tirupati, India"
1129,PINJ,IBIS Airport Hotel (Panchkula / Pinjore Airport),3.1,4,8.4,3265,10158,1,0,"Terminal Road, Near PINJ Airport, Panchkula / Pinjore, India"
1130,JGA,FabHotel Airport Inn (Jamnagar Airport),4.0,3,9.2,1972,6086,1,0,"Terminal Road, Near JGA Airport, Jamnagar, India"
1131,UTK,OYO Townhouse Airport (Kalahandi / Utkela Airport),8.2,4,8.5,3496,3154,0,1,"Terminal Road, Near UTK Airport, Kalahandi / Utkela, India"
1132,NMS,IBIS Airport Hotel (Naliya Airport),10.6,3,9.7,2519,10189,0,1,"Terminal Road, Near NMS Airport, Naliya, India"
1133,IXC,Ginger Airport Hotel (Chandigarh Airport),4.5,3,9.3,957,11579,1,0,"Terminal Road, Near IXC Airport, Chandigarh, India"
1134,DIU,OYO Townhouse Airport (Diu Airport),6.6,5,9.5,1230,10274,1,0,"Terminal Road, Near DIU Airport, Diu, India"
1135,HSR,Novotel Airport Hotel (Rajkot Airport),5.5,5,9.1,2474,4002,1,1,"Terminal Road, Near HSR Airport, Rajkot, India"
1136,HSS,Lemon Tree Premier (Hisar Airport),14.4,3,8.8,1895,8715,0,0,"Terminal Road, Near HSS Airport, Hisar, India"
1137,AMR,Hyatt Regency Terminal (Amravati Airport),6.7,4,9.5,2528,7851,1,0,"Terminal Road, Near AMR Airport, Amravati, India"
1138,GWL,Trident Airport Hotel (Gwalior Airport),5.6,3,9.4,1562,3080,1,0,"Terminal Road, Near GWL Airport, Gwalior, India"
1139,VDY,Trident Airport Hotel (Vidyanagar / Ballari Airport),12.5,5,9.1,1725,8611,0,1,"Terminal Road, Near VDY Airport, Vidyanagar / Ballari, India"
1140,SDW,Hyatt Regency Terminal (Sindhudurg Airport),6.5,4,9.3,995,4055,1,1,"Terminal Road, Near SDW Airport, Sindhudurg, India"
1141,AYJ,FabHotel Airport Inn (Ayodhya Airport),10.2,4,8.4,3462,12046,0,1,"Terminal Road, Near AYJ Airport, Ayodhya, India"
1142,MUZ,Ginger Airport Hotel (Muzaffarpur Airport),0.8,5,9.2,866,10060,1,1,"Terminal Road, Near MUZ Airport, Muzaffarpur, India"
1143,DUM,IBIS Airport Hotel (Dumka Airport),5.4,5,8.5,3083,5669,1,1,"Terminal Road, Near DUM Airport, Dumka, India"
1144,VNS,ITC Grand Bharat (Varanasi Airport),10.7,5,9.2,3607,10568,0,1,"Terminal Road, Near VNS Airport, Varanasi, India"
1145,BOM,Pride Plaza Hotel (Mumbai Airport),9.7,4,8.4,2337,3886,0,1,"Terminal Road, Near BOM Airport, Mumbai, India"
1146,BLR,Pride Plaza Hotel (Bengaluru Airport),10.5,5,8.2,3668,2913,0,1,"Terminal Road, Near BLR Airport, Bengaluru, India"
1147,PUR,Novotel Airport Hotel (Purulia Airport),2.6,3,9.6,2877,3280,1,1,"Terminal Road, Near PUR Airport, Purulia, India"
1148,IXM,Radisson Blu Airport (Madurai Airport),0.9,3,8.4,2509,9706,1,1,"Terminal Road, Near IXM Airport, Madurai, India"
1149,LUD,Ginger Airport Hotel (Ludhiana Airport),0.8,5,9.4,3683,11498,1,1,"Terminal Road, Near LUD Airport, Ludhiana, India"
1150,TEZ,OYO Townhouse Airport (Tezpur Airport),10.0,4,8.9,1948,7899,0,0,"Terminal Road, Near TEZ Airport, Tezpur, India"
1151,AMB,OYO Townhouse Airport (Ambikapur Airport),11.2,3,9.4,3629,8984,0,0,"Terminal Road, Near AMB Airport, Ambikapur, India"
1152,KHA,Hyatt Regency Terminal (Khandwa Airport),4.0,3,8.8,1090,8547,1,1,"Terminal Road, Near KHA Airport, Khandwa, India"
1153,IXP,ITC Grand Bharat (Pathankot Airport),5.3,3,8.7,2396,4607,1,0,"Terminal Road, Near IXP Airport, Pathankot, India"
1154,IXR,OYO Townhouse Airport (Ranchi Airport),8.7,4,9.8,709,3575,0,1,"Terminal Road, Near IXR Airport, Ranchi, India"
1155,GON,Ginger Airport Hotel (Gondia Airport),5.0,4,8.6,1382,9095,1,0,"Terminal Road, Near GON Airport, Gondia, India"
1156,GOP,Ginger Airport Hotel (Ganjam / Gopalpur Airport),12.9,4,8.3,879,4811,0,0,"Terminal Road, Near GOP Airport, Ganjam / Gopalpur, India"
1157,BLR,Ginger Airport Hotel (Bengaluru Airport),6.0,4,9.8,2212,6170,1,1,"Terminal Road, Near BLR Airport, Bengaluru, India"
1158,RKG,IBIS Airport Hotel (Durgapur Airport),6.8,3,9.6,3437,9808,1,1,"Terminal Road, Near RKG Airport, Durgapur, India"
1159,SRA,Pride Plaza Hotel (Shravasti Airport),3.1,5,8.5,3717,11214,1,0,"Terminal Road, Near SRA Airport, Shravasti, India"
1160,MZS,Hyatt Regency Terminal (Sonbhadra Airport),5.7,4,8.2,3261,7087,1,0,"Terminal Road, Near MZS Airport, Sonbhadra, India"
1161,TEZU,ITC Grand Bharat (Tezu Airport),10.6,4,9.3,1386,9680,0,1,"Terminal Road, Near TEZU Airport, Tezu, India"
1162,DHM,Hyatt Regency Terminal (Dharamshala / Kangra Airport),3.5,5,9.6,3090,5411,1,0,"Terminal Road, Near DHM Airport, Dharamshala / Kangra, India"
1163,TIR,IBIS Airport Hotel (Tirupati Airport),2.8,3,8.7,2906,2881,1,0,"Terminal Road, Near TIR Airport, Tirupati, India"
1164,IXY,IBIS Airport Hotel (Kandla Airport),1.4,4,8.4,3598,11580,1,0,"Terminal Road, Near IXY Airport, Kandla, India"
1165,ZER,Taj City Centre (Ziro Airport),9.9,5,9.6,1946,3820,0,1,"Terminal Road, Near ZER Airport, Ziro, India"
1166,NEEM,FabHotel Airport Inn (Neemuch Airport),13.0,3,9.3,1408,11316,0,0,"Terminal Road, Near NEEM Airport, Neemuch, India"
1167,VJZ,ITC Grand Bharat (Bhogapuram / Vizianagaram Airport),8.0,4,8.7,2192,9228,0,1,"Terminal Road, Near VJZ Airport, Bhogapuram / Vizianagaram, India"
1168,GBI,Hyatt Regency Terminal (Kalaburagi (Gulbarga) Airport),11.9,5,9.0,3292,4548,0,1,"Terminal Road, Near GBI Airport, Kalaburagi (Gulbarga), India"
1169,IXY,Hyatt Regency Terminal (Kandla Airport),13.5,4,8.2,3658,11793,0,1,"Terminal Road, Near IXY Airport, Kandla, India"
1170,CKU,ITC Grand Bharat (Chakulia Airport),6.5,3,8.2,3779,10086,1,0,"Terminal Road, Near CKU Airport, Chakulia, India"
1171,COB,Lemon Tree Premier (Cooch Behar Airport),11.6,5,9.7,1695,9548,0,0,"Terminal Road, Near COB Airport, Cooch Behar, India"
1172,ALD,OYO Townhouse Airport (Aligarh Airport),13.8,5,9.6,3792,8492,0,1,"Terminal Road, Near ALD Airport, Aligarh, India"
1173,RPR,FabHotel Airport Inn (Raipur Airport),2.8,3,9.8,2664,7739,1,1,"Terminal Road, Near RPR Airport, Raipur, India"
1174,ATQ,IBIS Airport Hotel (Amritsar Airport),9.6,5,8.2,509,7705,0,0,"Terminal Road, Near ATQ Airport, Amritsar, India"
1175,HIR,Ginger Airport Hotel (Sambalpur Airport),13.7,5,9.1,443,3181,0,0,"Terminal Road, Near HIR Airport, Sambalpur, India"
1176,TEZ,Lemon Tree Premier (Tezpur Airport),2.4,4,8.3,3747,6391,1,0,"Terminal Road, Near TEZ Airport, Tezpur, India"
1177,IXS,ITC Grand Bharat (Silchar Airport),8.8,3,8.7,3445,5405,0,1,"Terminal Road, Near IXS Airport, Silchar, India"
1178,TIR,IBIS Airport Hotel (Tirupati Airport),10.7,4,8.3,446,8154,0,1,"Terminal Road, Near TIR Airport, Tirupati, India"
1179,LGP,Hyatt Regency Terminal (Rupsi / Dhubri Airport),12.6,4,8.6,1090,9284,0,1,"Terminal Road, Near LGP Airport, Rupsi / Dhubri, India"
1180,SIH,IBIS Airport Hotel (Sirohi Airport),7.4,5,8.8,3426,11133,1,1,"Terminal Road, Near SIH Airport, Sirohi, India"
1181,BVC,Hyatt Regency Terminal (Bhavnagar Airport),10.4,3,9.6,926,4397,0,1,"Terminal Road, Near BVC Airport, Bhavnagar, India"
1182,SWM,Hyatt Regency Terminal (Ranthambore / Sawai Madhopur Airport),13.0,3,8.4,1693,9463,0,1,"Terminal Road, Near SWM Airport, Ranthambore / Sawai Madhopur, India"
1183,BOM,Novotel Airport Hotel (Mumbai Airport),7.8,5,9.4,972,10366,1,1,"Terminal Road, Near BOM Airport, Mumbai, India"
1184,VZY,ITC Grand Bharat (Vijayawada Airport),13.8,3,9.2,832,3446,0,0,"Terminal Road, Near VZY Airport, Vijayawada, India"
1185,TEZ,IBIS Airport Hotel (Tezpur Airport),6.0,5,8.4,3045,5484,1,0,"Terminal Road, Near TEZ Airport, Tezpur, India"
1186,CKU,Taj City Centre (Chakulia Airport),7.4,3,9.6,729,10590,1,1,"Terminal Road, Near CKU Airport, Chakulia, India"
1187,KHO,ITC Grand Bharat (Khowai Airport),12.4,3,9.2,1634,7074,0,0,"Terminal Road, Near KHO Airport, Khowai, India"
1188,KARN,Radisson Blu Airport (Karnal Airport),3.7,5,9.3,3565,9947,1,0,"Terminal Road, Near KARN Airport, Karnal, India"
1189,CKU,Hyatt Regency Terminal (Chakulia Airport),5.5,4,8.2,3349,8886,1,1,"Terminal Road, Near CKU Airport, Chakulia, India"
1190,BKN,Lemon Tree Premier (Bikaner Airport),11.9,4,8.3,1922,7038,0,1,"Terminal Road, Near BKN Airport, Bikaner, India"
1191,DUM,Trident Airport Hotel (Dumka Airport),10.2,5,9.3,1968,11545,0,1,"Terminal Road, Near DUM Airport, Dumka, India"
1192,KUU,Pride Plaza Hotel (Kullu / Manali Airport),6.7,4,9.7,1625,2096,1,1,"Terminal Road, Near KUU Airport, Kullu / Manali, India"
1193,KAM,Ginger Airport Hotel (Kamalpur Airport),9.3,5,8.5,2915,2284,0,0,"Terminal Road, Near KAM Airport, Kamalpur, India"
1194,NMS,Trident Airport Hotel (Naliya Airport),12.6,5,9.8,343,7158,0,1,"Terminal Road, Near NMS Airport, Naliya, India"
1195,NVY,ITC Grand Bharat (Neyveli Airport),2.3,5,9.6,1263,7731,1,0,"Terminal Road, Near NVY Airport, Neyveli, India"
1196,PNQ,Hyatt Regency Terminal (Pune Airport),5.8,5,9.4,2775,11660,1,1,"Terminal Road, Near PNQ Airport, Pune, India"
1197,KHO,Taj City Centre (Khowai Airport),1.3,5,8.4,3506,5504,1,1,"Terminal Road, Near KHO Airport, Khowai, India"
1198,MRA,FabHotel Airport Inn (Noida / Jewar Airport),2.7,4,8.9,2418,2251,1,0,"Terminal Road, Near MRA Airport, Noida / Jewar, India"
1199,IXY,ITC Grand Bharat (Kandla Airport),1.4,4,8.2,2761,8505,1,1,"Terminal Road, Near IXY Airport, Kandla, India"
1200,PBN,OYO Townhouse Airport (Parbhani Airport),9.3,3,8.1,2386,5652,0,0,"Terminal Road, Near PBN Airport, Parbhani, India"
1201,VTZ,Ginger Airport Hotel (Visakhapatnam Airport),5.7,3,8.9,552,3582,1,1,"Terminal Road, Near VTZ Airport, Visakhapatnam, India"
1202,AMD,IBIS Airport Hotel (Ahmedabad Airport),9.9,3,8.1,654,3618,0,0,"Terminal Road, Near AMD Airport, Ahmedabad, India"
1203,PUI,Hyatt Regency Terminal (Purnea Airport),3.8,4,8.1,3002,3605,1,1,"Terminal Road, Near PUI Airport, Purnea, India"
