id,flight_number,airline,airline_code,airline_color,origin_code,dest_code,departure_time,arrival_time,duration_minutes,stops,stopover_code,price,cabin_class,available_seats,total_passengers,aircraft,terminal,gate
10986,UK-567,Vistara,UK,#4b164c,RGD,IXU,2026-08-02 01:35:34,2026-08-02 03:28:34,113,0,,12941,Premium Economy,16,153,Boeing 737 MAX 8,Terminal 3,Gate 1
10987,QP-546,Akasa Air,QP,#ff5d00,HYD,MOR,2026-08-08 01:50:34,2026-08-08 04:31:34,161,0,,9049,Premium Economy,11,145,ATR 72-600,Terminal 2,Gate 13
10988,QP-554,Akasa Air,QP,#ff5d00,BHJ,NAG,2026-08-12 20:50:34,2026-08-12 23:27:34,157,0,,11253,Premium Economy,27,173,Boeing 737 MAX 8,Terminal 1,Gate 13
10989,SG-417,SpiceJet,SG,#e60000,HZD,CHI,2026-08-05 21:50:34,2026-08-05 23:13:34,83,0,,27835,Business Class,17,135,ATR 72-600,Terminal 3,Gate 24
10990,AI-637,Air India,AI,#ed1b24,IXR,ROU,2026-08-13 10:20:34,2026-08-13 11:30:34,70,0,,4440,Economy,13,147,Airbus A320neo,Terminal 2,Gate 3
10991,QP-670,Akasa Air,QP,#ff5d00,CNN,BAR,2026-08-12 03:20:34,2026-08-12 06:32:34,192,1,AKL,14477,Premium Economy,17,162,Boeing 737-800,Terminal 1,Gate 15
10992,QP-961,Akasa Air,QP,#ff5d00,AMR,DUM,2026-08-08 20:20:34,2026-08-08 23:49:34,209,0,,3535,Economy,32,173,Airbus A321neo,Terminal 1,Gate 5
10993,9I-246,Alliance Air,9I,#0083c9,KOP,PAT,2026-08-15 08:35:34,2026-08-15 11:00:34,145,1,NVM,63732,First Class,5,126,Boeing 737-800,Terminal 1,Gate 19
10994,6E-272,IndiGo,6E,#001b94,GWL,DGR,2026-08-12 16:20:34,2026-08-12 17:24:34,64,0,,23903,Business Class,11,152,Airbus A320neo,Terminal 2,Gate 11
10995,9I-740,Alliance Air,9I,#0083c9,WGC,RGD,2026-08-12 14:05:34,2026-08-12 16:26:34,141,0,,42217,First Class,17,128,ATR 72-600,Terminal 2,Gate 13
10996,IX-955,Air India Express,IX,#f26522,MRA,BLT,2026-08-09 01:50:34,2026-08-09 02:53:34,63,0,,51964,First Class,36,154,Boeing 737-800,Terminal 3,Gate 6
10997,UK-291,Vistara,UK,#4b164c,KQH,BVC,2026-08-13 13:35:34,2026-08-13 15:11:34,96,0,,44349,First Class,30,152,Boeing 737 MAX 8,Terminal 3,Gate 23
10998,9I-804,Alliance Air,9I,#0083c9,IXD,COK,2026-08-06 06:20:34,2026-08-06 09:28:34,188,0,,48753,First Class,37,140,Boeing 737-800,Terminal 1,Gate 5
10999,AI-713,Air India,AI,#ed1b24,GAY,MEH,2026-08-07 23:05:34,2026-08-08 02:01:34,176,0,,21664,Business Class,20,155,Airbus A321neo,Terminal 2,Gate 20
11000,IX-136,Air India Express,IX,#f26522,DGR,CCJ,2026-08-03 00:50:34,2026-08-03 03:21:34,151,0,,5304,Economy,4,134,Boeing 737 MAX 8,Terminal 2,Gate 8
11001,QP-355,Akasa Air,QP,#ff5d00,MAA,NDC,2026-08-06 07:50:34,2026-08-06 09:52:34,122,1,IDR,28467,Business Class,25,167,Boeing 737 MAX 8,Terminal 1,Gate 4
11002,UK-768,Vistara,UK,#4b164c,JLG,ASL,2026-08-07 05:20:34,2026-08-07 07:31:34,131,0,,39100,First Class,32,129,Airbus A321neo,Terminal 2,Gate 4
11003,IX-867,Air India Express,IX,#f26522,KAM,DHR,2026-07-31 13:35:34,2026-07-31 16:35:34,180,0,,45506,First Class,26,139,Airbus A321neo,Terminal 1,Gate 1
11004,UK-436,Vistara,UK,#4b164c,CHI,SNE,2026-08-09 15:50:34,2026-08-09 19:12:34,202,0,,41565,First Class,2,166,Airbus A321neo,Terminal 3,Gate 11
11005,QP-878,Akasa Air,QP,#ff5d00,IXG,PNY,2026-08-13 14:50:34,2026-08-13 16:34:34,104,0,,11628,Premium Economy,10,164,ATR 72-600,Terminal 2,Gate 15
11006,6E-627,IndiGo,6E,#001b94,LAT,RKG,2026-08-03 15:05:34,2026-08-03 17:29:34,144,0,,19299,Business Class,3,159,Airbus A321neo,Terminal 3,Gate 17
11007,AI-243,Air India,AI,#ed1b24,LKO,CFH,2026-08-09 09:35:34,2026-08-09 12:31:34,176,0,,3745,Economy,10,163,Boeing 737 MAX 8,Terminal 2,Gate 5
11008,AI-137,Air India,AI,#ed1b24,BVC,CHI,2026-08-11 12:20:34,2026-08-11 15:23:34,183,1, سات,33078,Business Class,36,173,ATR 72-600,Terminal 2,Gate 9
11009,6E-369,IndiGo,6E,#001b94,TRV,BHO,2026-08-05 11:35:34,2026-08-05 15:12:34,217,0,,27883,Business Class,4,139,ATR 72-600,Terminal 1,Gate 3
11010,SG-762,SpiceJet,SG,#e60000,CKU,COB,2026-08-12 07:05:34,2026-08-12 10:00:34,175,0,,27541,Business Class,20,128,ATR 72-600,Terminal 1,Gate 9
11011,QP-420,Akasa Air,QP,#ff5d00,JHW,LUD,2026-08-06 13:50:34,2026-08-06 16:01:34,131,0,,18961,Business Class,35,148,Boeing 737 MAX 8,Terminal 3,Gate 13
11012,9I-685,Alliance Air,9I,#0083c9,CNN,IXG,2026-08-12 05:35:34,2026-08-12 08:12:34,157,0,,7363,Economy,38,153,Boeing 737 MAX 8,Terminal 3,Gate 7
11013,SG-940,SpiceJet,SG,#e60000,AYJ,KQH,2026-08-01 15:05:34,2026-08-01 17:13:34,128,0,,5322,Economy,26,120,Airbus A321neo,Terminal 2,Gate 9
11014,UK-964,Vistara,UK,#4b164c,TEZ,TIR,2026-07-31 16:20:34,2026-07-31 17:41:34,81,0,,5547,Economy,5,175,Boeing 737-800,Terminal 3,Gate 7
11015,UK-574,Vistara,UK,#4b164c,LAT,ALD,2026-08-13 09:35:34,2026-08-13 10:33:34,58,1,IXT,26110,Business Class,7,159,ATR 72-600,Terminal 2,Gate 16
11016,9I-857,Alliance Air,9I,#0083c9,SXV,MOR,2026-08-11 18:50:34,2026-08-11 20:22:34,92,0,,5304,Economy,7,171,Boeing 737 MAX 8,Terminal 3,Gate 15
11017,6E-528,IndiGo,6E,#001b94,ALD,ISK,2026-08-02 14:05:34,2026-08-02 17:02:34,177,0,,14194,Premium Economy,16,132,Airbus A321neo,Terminal 3,Gate 23
11018,SG-350,SpiceJet,SG,#e60000,IXE,GWL,2026-08-15 00:35:34,2026-08-15 04:04:34,209,0,,29198,Business Class,18,175,Airbus A320neo,Terminal 1,Gate 1
11019,9I-312,Alliance Air,9I,#0083c9,GAY, سات,2026-08-09 18:05:34,2026-08-09 20:07:34,122,0,,48794,First Class,20,149,ATR 72-600,Terminal 2,Gate 14
11020,6E-830,IndiGo,6E,#001b94,ISK,SRA,2026-08-12 00:50:34,2026-08-12 02:20:34,90,0,,10254,Premium Economy,32,144,Airbus A320neo,Terminal 1,Gate 21
11021,AI-915,Air India,AI,#ed1b24,SXR,VZY,2026-08-04 20:20:34,2026-08-04 23:34:34,194,0,,55667,First Class,15,176,Boeing 737 MAX 8,Terminal 2,Gate 4
11022,AI-183,Air India,AI,#ed1b24,BBI,SRA,2026-08-07 21:20:34,2026-08-08 00:29:34,189,1,BPI,61610,First Class,16,180,Airbus A320neo,Terminal 1,Gate 12
11023,6E-543,IndiGo,6E,#001b94,SSE,LKO,2026-08-06 02:20:34,2026-08-06 03:36:34,76,0,,67163,First Class,7,164,Airbus A321neo,Terminal 3,Gate 18
11024,9I-421,Alliance Air,9I,#0083c9,MEH,DGR,2026-08-03 02:05:34,2026-08-03 04:36:34,151,1,JAI,57877,First Class,15,180,Airbus A321neo,Terminal 2,Gate 24
11025,IX-875,Air India Express,IX,#f26522,BLT,RGD,2026-08-04 08:20:34,2026-08-04 10:50:34,150,0,,66100,First Class,31,169,Boeing 737-800,Terminal 3,Gate 3
11026,UK-170,Vistara,UK,#4b164c,KHA,ASL,2026-07-31 16:35:34,2026-07-31 18:19:34,104,0,,53057,First Class,3,172,ATR 72-600,Terminal 2,Gate 3
11027,QP-598,Akasa Air,QP,#ff5d00,NEEM,PYB,2026-08-04 00:50:34,2026-08-04 03:56:34,186,0,,5596,Economy,33,138,ATR 72-600,Terminal 3,Gate 22
11028,IX-404,Air India Express,IX,#f26522,LUD,ISK,2026-08-12 20:50:34,2026-08-12 23:16:34,146,1,IMF,42401,First Class,7,120,Airbus A321neo,Terminal 1,Gate 3
11029,9I-198,Alliance Air,9I,#0083c9,BAR,DMO,2026-08-01 11:20:34,2026-08-01 14:01:34,161,1,GON,4827,Economy,16,166,Boeing 737-800,Terminal 1,Gate 15
11030,QP-308,Akasa Air,QP,#ff5d00,DON,SNE,2026-08-09 12:05:34,2026-08-09 13:08:34,63,1,LGP,50036,First Class,31,166,Airbus A320neo,Terminal 2,Gate 19
11031,QP-521,Akasa Air,QP,#ff5d00,KBK,GON,2026-08-01 08:50:34,2026-08-01 10:49:34,119,0,,5165,Economy,18,172,Boeing 737 MAX 8,Terminal 2,Gate 8
11032,UK-480,Vistara,UK,#4b164c,WGC,CJB,2026-08-13 05:35:34,2026-08-13 06:59:34,84,0,,34671,Business Class,23,122,Boeing 737-800,Terminal 3,Gate 5
11033,IX-850,Air India Express,IX,#f26522,PUR,MUZ,2026-08-03 16:05:34,2026-08-03 17:27:34,82,0,,14089,Premium Economy,15,143,Airbus A320neo,Terminal 3,Gate 12
11034,UK-460,Vistara,UK,#4b164c,IXR,DBR,2026-08-14 22:50:34,2026-08-15 01:47:34,177,0,,4206,Economy,15,159,ATR 72-600,Terminal 3,Gate 18
11035,QP-707,Akasa Air,QP,#ff5d00,VTZ,MZS,2026-08-12 20:35:34,2026-08-12 22:04:34,89,0,,28047,Business Class,6,125,Airbus A321neo,Terminal 3,Gate 24
11036,9I-335,Alliance Air,9I,#0083c9,IXB,STV,2026-08-09 06:05:34,2026-08-09 08:16:34,131,1,MYQ,5069,Economy,26,140,Boeing 737-800,Terminal 1,Gate 6
11037,QP-538,Akasa Air,QP,#ff5d00,BKN,OSB,2026-08-11 08:35:34,2026-08-11 10:14:34,99,1,SIV,38636,First Class,8,162,Boeing 737 MAX 8,Terminal 1,Gate 23
11038,QP-356,Akasa Air,QP,#ff5d00,GBI,KHA,2026-08-14 00:35:34,2026-08-14 02:04:34,89,0,,6127,Economy,9,131,Boeing 737-800,Terminal 1,Gate 19
11039,SG-964,SpiceJet,SG,#e60000,BKN,TCR,2026-08-07 04:20:34,2026-08-07 07:03:34,163,0,,3362,Economy,28,122,ATR 72-600,Terminal 1,Gate 7
11040,9I-476,Alliance Air,9I,#0083c9,SDW,TIR,2026-08-05 16:50:34,2026-08-05 20:20:34,210,0,,9332,Premium Economy,21,122,Boeing 737 MAX 8,Terminal 3,Gate 18
11041,IX-428,Air India Express,IX,#f26522,CJB,UTK,2026-08-09 05:20:34,2026-08-09 06:17:34,57,0,,27858,Business Class,18,157,Airbus A321neo,Terminal 1,Gate 16
11042,6E-721,IndiGo,6E,#001b94,IXS,JDH,2026-08-03 10:50:34,2026-08-03 14:04:34,194,0,,26842,Business Class,36,122,Airbus A321neo,Terminal 2,Gate 21
11043,9I-246,Alliance Air,9I,#0083c9,UDR,TIR,2026-08-13 12:20:34,2026-08-13 14:03:34,103,0,,53559,First Class,38,142,Airbus A321neo,Terminal 1,Gate 3
11044,AI-515,Air India,AI,#ed1b24,NPL,HSS,2026-08-06 12:20:34,2026-08-06 15:22:34,182,0,,32433,Business Class,11,158,Boeing 737 MAX 8,Terminal 1,Gate 6
11045,9I-828,Alliance Air,9I,#0083c9,CCU,BAR,2026-08-03 15:05:34,2026-08-03 17:01:34,116,1,PYB,60037,First Class,10,165,Airbus A320neo,Terminal 3,Gate 11
11046,IX-142,Air India Express,IX,#f26522,TRV,VDY,2026-08-02 17:20:34,2026-08-02 20:51:34,211,0,,40129,First Class,2,125,Airbus A320neo,Terminal 2,Gate 6
11047,SG-619,SpiceJet,SG,#e60000,RMD,TRV,2026-07-31 16:50:34,2026-07-31 18:31:34,101,1,DBR,12508,Premium Economy,28,139,Boeing 737 MAX 8,Terminal 3,Gate 21
11048,UK-208,Vistara,UK,#4b164c,PAL,JSA,2026-08-06 19:50:34,2026-08-06 23:24:34,214,0,,28066,Business Class,20,180,Boeing 737 MAX 8,Terminal 1,Gate 17
11049,IX-321,Air India Express,IX,#f26522,JAI,KARN,2026-08-15 05:20:34,2026-08-15 07:19:34,119,0,,24162,Business Class,6,127,Boeing 737 MAX 8,Terminal 3,Gate 5
11050,QP-562,Akasa Air,QP,#ff5d00,KOK,BTH,2026-08-07 07:35:34,2026-08-07 09:48:34,133,0,,26955,Business Class,20,180,ATR 72-600,Terminal 3,Gate 12
11051,UK-430,Vistara,UK,#4b164c,RMD,SIV,2026-08-12 06:35:34,2026-08-12 09:08:34,153,0,,28758,Business Class,37,143,Boeing 737 MAX 8,Terminal 2,Gate 5
11052,UK-698,Vistara,UK,#4b164c,GOX,RPR,2026-08-03 08:05:34,2026-08-03 10:35:34,150,0,,18366,Business Class,31,176,Airbus A321neo,Terminal 2,Gate 2
11053,9I-819,Alliance Air,9I,#0083c9,TCR,SDW,2026-08-12 02:05:34,2026-08-12 03:43:34,98,0,,31866,Business Class,30,162,Boeing 737 MAX 8,Terminal 3,Gate 12
11054,QP-440,Akasa Air,QP,#ff5d00,IXG,PNV,2026-08-10 02:20:34,2026-08-10 04:15:34,115,1,VTZ,5943,Economy,10,134,Airbus A320neo,Terminal 2,Gate 14
11055,AI-539,Air India,AI,#ed1b24,PAT,ANK,2026-08-02 04:20:34,2026-08-02 05:34:34,74,0,,13702,Premium Economy,10,148,ATR 72-600,Terminal 1,Gate 10
11056,AI-976,Air India,AI,#ed1b24,DEL,BPI,2026-08-10 11:05:34,2026-08-10 14:14:34,189,1,PYG,5891,Economy,33,147,Boeing 737 MAX 8,Terminal 2,Gate 3
11057,QP-795,Akasa Air,QP,#ff5d00,ATQ,ZER,2026-08-05 15:20:34,2026-08-05 17:54:34,154,0,,10046,Premium Economy,37,159,Airbus A321neo,Terminal 2,Gate 4
11058,SG-438,SpiceJet,SG,#e60000,IXS,REW,2026-08-08 16:20:34,2026-08-08 17:58:34,98,1,BTH,46241,First Class,8,178,Boeing 737 MAX 8,Terminal 2,Gate 17
11059,IX-258,Air India Express,IX,#f26522,PUI,NDC,2026-08-02 09:20:34,2026-08-02 12:55:34,215,0,,13172,Premium Economy,7,172,Boeing 737-800,Terminal 2,Gate 3
11060,IX-745,Air India Express,IX,#f26522,SWM,NVY,2026-08-02 07:35:34,2026-08-02 08:40:34,65,0,,47194,First Class,9,129,Airbus A320neo,Terminal 1,Gate 1
11061,9I-194,Alliance Air,9I,#0083c9,AKL,PBF,2026-08-01 08:05:34,2026-08-01 11:20:34,195,0,,19264,Business Class,8,157,Boeing 737 MAX 8,Terminal 1,Gate 3
11062,QP-679,Akasa Air,QP,#ff5d00,CFH,BAR,2026-08-01 01:35:34,2026-08-01 03:07:34,92,1,AMRE,3534,Economy,9,130,ATR 72-600,Terminal 1,Gate 12
11063,6E-484,IndiGo,6E,#001b94,BKN,JHW,2026-08-04 21:50:34,2026-08-05 00:22:34,152,1,RMD,55681,First Class,2,135,Boeing 737 MAX 8,Terminal 3,Gate 19
11064,IX-517,Air India Express,IX,#f26522,SRA,UTL,2026-08-07 17:50:34,2026-08-07 19:24:34,94,1,TRZ,8964,Premium Economy,23,171,ATR 72-600,Terminal 2,Gate 1
11065,QP-325,Akasa Air,QP,#ff5d00,AMR,PYB,2026-08-11 11:20:34,2026-08-11 13:22:34,122,0,,14253,Premium Economy,3,149,Boeing 737 MAX 8,Terminal 2,Gate 17
11066,AI-193,Air India,AI,#ed1b24,NMS,IXW,2026-08-13 19:35:34,2026-08-13 22:58:34,203,1,JLR,12450,Premium Economy,32,131,Airbus A321neo,Terminal 2,Gate 6
11067,UK-949,Vistara,UK,#4b164c,CKU,TRV,2026-08-01 05:50:34,2026-08-01 08:48:34,178,0,,45046,First Class,13,170,Airbus A321neo,Terminal 3,Gate 23
11068,IX-995,Air India Express,IX,#f26522,COB,KQH,2026-08-07 22:35:34,2026-08-08 00:09:34,94,0,,18692,Business Class,24,173,Boeing 737-800,Terminal 1,Gate 13
11069,SG-519,SpiceJet,SG,#e60000,AGR,JRH,2026-08-03 09:50:34,2026-08-03 11:43:34,113,1,ATQ,10108,Premium Economy,18,150,ATR 72-600,Terminal 2,Gate 6
11070,SG-141,SpiceJet,SG,#e60000,HSR,TRZ,2026-08-08 19:20:34,2026-08-08 20:33:34,73,1,PYB,5012,Economy,13,129,Airbus A321neo,Terminal 1,Gate 15
11071,UK-971,Vistara,UK,#4b164c,REW,AGX,2026-08-03 15:35:34,2026-08-03 18:11:34,156,0,,9942,Premium Economy,34,136,ATR 72-600,Terminal 1,Gate 7
11072,QP-236,Akasa Air,QP,#ff5d00,CNN,SRA,2026-08-03 05:50:34,2026-08-03 08:39:34,169,0,,24396,Business Class,23,149,Airbus A321neo,Terminal 3,Gate 7
11073,UK-688,Vistara,UK,#4b164c,AGR,STV,2026-08-05 15:05:34,2026-08-05 16:53:34,108,0,,19110,Business Class,22,144,Airbus A320neo,Terminal 2,Gate 10
11074,IX-701,Air India Express,IX,#f26522,BID,HBI,2026-08-07 05:20:34,2026-08-07 07:58:34,158,0,,23197,Business Class,34,149,Boeing 737-800,Terminal 3,Gate 17
11075,QP-200,Akasa Air,QP,#ff5d00,KAR,PUR,2026-08-03 18:20:34,2026-08-03 21:40:34,200,0,,9597,Premium Economy,20,172,Airbus A320neo,Terminal 1,Gate 23
11076,QP-433,Akasa Air,QP,#ff5d00,GWL,AMH,2026-08-01 15:20:34,2026-08-01 16:27:34,67,0,,28281,Business Class,24,148,Airbus A320neo,Terminal 2,Gate 18
11077,QP-503,Akasa Air,QP,#ff5d00,DBR,IXU,2026-08-14 04:20:34,2026-08-14 07:11:34,171,1,BKN,5322,Economy,18,122,Boeing 737 MAX 8,Terminal 2,Gate 14
11078,AI-171,Air India,AI,#ed1b24,IXW,BID,2026-08-14 16:35:34,2026-08-14 18:51:34,136,0,,48726,First Class,26,149,Airbus A320neo,Terminal 3,Gate 1
11079,AI-892,Air India,AI,#ed1b24,TCR,IXJ,2026-08-02 20:05:34,2026-08-02 22:31:34,146,1,ALD,6803,Economy,35,149,Boeing 737-800,Terminal 2,Gate 3
11080,6E-431,IndiGo,6E,#001b94,CHI,DBR,2026-08-08 05:20:34,2026-08-08 08:25:34,185,0,,8976,Premium Economy,2,166,Boeing 737-800,Terminal 2,Gate 23
11081,QP-911,Akasa Air,QP,#ff5d00,RKG,BID,2026-08-09 03:20:34,2026-08-09 05:20:34,120,0,,34541,Business Class,31,155,Airbus A320neo,Terminal 1,Gate 16
11082,IX-405,Air India Express,IX,#f26522,SIH,CJB,2026-08-05 10:05:34,2026-08-05 13:40:34,215,0,,18571,Business Class,3,148,ATR 72-600,Terminal 2,Gate 17
11083,SG-415,SpiceJet,SG,#e60000,DON,LUD,2026-08-12 23:50:34,2026-08-13 03:24:34,214,0,,15480,Premium Economy,9,131,ATR 72-600,Terminal 3,Gate 14
11084,AI-434,Air India,AI,#ed1b24,DON,BLR,2026-08-01 10:50:34,2026-08-01 13:53:34,183,1,DMO,43916,First Class,18,138,Boeing 737-800,Terminal 1,Gate 4
11085,UK-115,Vistara,UK,#4b164c,NMS,RMD,2026-07-31 20:20:34,2026-07-31 23:56:34,216,0,,3660,Economy,6,175,Airbus A321neo,Terminal 2,Gate 16
11086,6E-917,IndiGo,6E,#001b94,NWP,BHU,2026-08-06 18:20:34,2026-08-06 19:59:34,99,0,,7602,Economy,37,176,ATR 72-600,Terminal 1,Gate 12
11087,6E-487,IndiGo,6E,#001b94,OSB,IXE,2026-08-01 05:20:34,2026-08-01 07:04:34,104,0,,15342,Premium Economy,25,166,Airbus A320neo,Terminal 2,Gate 1
11088,IX-725,Air India Express,IX,#f26522,IMF,BHU,2026-08-08 02:35:34,2026-08-08 05:50:34,195,0,,45885,First Class,5,134,Airbus A321neo,Terminal 3,Gate 23
11089,SG-600,SpiceJet,SG,#e60000,AMRE,IXS,2026-08-08 06:35:34,2026-08-08 07:41:34,66,0,,10717,Premium Economy,38,157,Boeing 737-800,Terminal 2,Gate 13
11090,UK-417,Vistara,UK,#4b164c,TRV,GOI,2026-08-06 18:05:34,2026-08-06 21:10:34,185,0,,25821,Business Class,29,156,Airbus A320neo,Terminal 3,Gate 4
11091,IX-486,Air India Express,IX,#f26522,KAI,KHO,2026-08-09 00:50:34,2026-08-09 02:41:34,111,0,,62301,First Class,5,173,Boeing 737-800,Terminal 3,Gate 8
11092,IX-361,Air India Express,IX,#f26522,NPL,BDQ,2026-08-11 00:05:34,2026-08-11 03:35:34,210,0,,3133,Economy,2,128,ATR 72-600,Terminal 3,Gate 17
11093,SG-875,SpiceJet,SG,#e60000,PINJ,IXY,2026-08-09 13:35:34,2026-08-09 16:05:34,150,0,,12691,Premium Economy,26,166,Airbus A320neo,Terminal 3,Gate 5
11094,6E-406,IndiGo,6E,#001b94,ROU,MAA,2026-08-12 06:20:34,2026-08-12 08:54:34,154,0,,34323,Business Class,11,124,Airbus A320neo,Terminal 2,Gate 9
11095,QP-773,Akasa Air,QP,#ff5d00,SXR,UTL,2026-08-06 05:05:34,2026-08-06 08:04:34,179,0,,7633,Economy,12,121,ATR 72-600,Terminal 1,Gate 20
11096,9I-706,Alliance Air,9I,#0083c9,AMD,JDH,2026-08-04 20:05:34,2026-08-04 23:33:34,208,0,,12467,Premium Economy,33,164,Airbus A321neo,Terminal 1,Gate 18
11097,QP-137,Akasa Air,QP,#ff5d00,AMR,MAL,2026-08-03 10:05:34,2026-08-03 11:24:34,79,0,,25676,Business Class,14,179,Airbus A320neo,Terminal 3,Gate 14
11098,AI-505,Air India,AI,#ed1b24,JRH,IDR,2026-08-09 03:35:34,2026-08-09 06:51:34,196,0,,6848,Economy,26,121,Airbus A320neo,Terminal 1,Gate 1
11099,9I-351,Alliance Air,9I,#0083c9,SXR,BPI,2026-08-10 12:20:34,2026-08-10 14:09:34,109,0,,21830,Business Class,26,164,Airbus A321neo,Terminal 3,Gate 17
11100,IX-895,Air India Express,IX,#f26522,IXL,NVY,2026-08-12 19:20:34,2026-08-12 21:15:34,115,0,,13869,Premium Economy,19,150,Airbus A321neo,Terminal 3,Gate 24
11101,IX-534,Air India Express,IX,#f26522,PAL,PUI,2026-08-09 15:05:34,2026-08-09 16:47:34,102,0,,4609,Economy,6,135,Boeing 737-800,Terminal 3,Gate 7
11102,6E-136,IndiGo,6E,#001b94,IXR,IXT,2026-08-01 21:50:34,2026-08-02 01:07:34,197,1,AMR,14323,Premium Economy,35,174,Airbus A321neo,Terminal 3,Gate 2
11103,IX-894,Air India Express,IX,#f26522,TCR,GAY,2026-08-06 06:35:34,2026-08-06 07:55:34,80,0,,14369,Premium Economy,22,121,Boeing 737-800,Terminal 2,Gate 17
11104,6E-289,IndiGo,6E,#001b94,KNU,GBI,2026-08-10 00:35:34,2026-08-10 02:51:34,136,0,,10042,Premium Economy,24,141,Airbus A320neo,Terminal 2,Gate 8
11105,UK-403,Vistara,UK,#4b164c,BTH,GOX,2026-08-10 22:50:34,2026-08-11 00:10:34,80,0,,21422,Business Class,4,174,Airbus A321neo,Terminal 2,Gate 23
11106,AI-888,Air India,AI,#ed1b24,IXE,JAI,2026-08-08 13:35:34,2026-08-08 14:39:34,64,0,,27836,Business Class,13,131,ATR 72-600,Terminal 3,Gate 4
11107,QP-220,Akasa Air,QP,#ff5d00,AMRE,SAH,2026-08-06 21:50:34,2026-08-06 23:00:34,70,0,,13885,Premium Economy,34,172,Boeing 737-800,Terminal 1,Gate 14
11108,9I-121,Alliance Air,9I,#0083c9,ROU,VNS,2026-08-15 01:50:34,2026-08-15 03:11:34,81,0,,67391,First Class,34,179,ATR 72-600,Terminal 1,Gate 24
11109,UK-496,Vistara,UK,#4b164c,AJL,HBX,2026-08-08 16:20:34,2026-08-08 19:49:34,209,0,,50304,First Class,30,137,Airbus A321neo,Terminal 3,Gate 17
11110,9I-151,Alliance Air,9I,#0083c9,AJL,ZER,2026-08-13 07:20:34,2026-08-13 09:50:34,150,0,,11156,Premium Economy,12,141,Boeing 737 MAX 8,Terminal 2,Gate 16
11111,AI-281,Air India,AI,#ed1b24,SIV,RJA,2026-08-09 07:20:34,2026-08-09 09:12:34,112,0,,31027,Business Class,6,132,Boeing 737 MAX 8,Terminal 3,Gate 19
11112,6E-417,IndiGo,6E,#001b94,GOP,AYJ,2026-08-01 13:35:34,2026-08-01 16:58:34,203,0,,63431,First Class,9,130,Airbus A320neo,Terminal 2,Gate 21
11113,9I-155,Alliance Air,9I,#0083c9,DMU,CKU,2026-08-14 07:20:34,2026-08-14 08:33:34,73,0,,7129,Economy,30,150,Airbus A320neo,Terminal 3,Gate 15
11114,AI-790,Air India,AI,#ed1b24,SHL,GAY,2026-08-08 04:05:34,2026-08-08 07:19:34,194,0,,4130,Economy,8,167,Airbus A321neo,Terminal 3,Gate 16
11115,QP-420,Akasa Air,QP,#ff5d00,NMN,IXD,2026-08-14 10:20:34,2026-08-14 13:44:34,204,0,,57473,First Class,25,156,Airbus A320neo,Terminal 2,Gate 21
11116,QP-351,Akasa Air,QP,#ff5d00,BLR,MUZ,2026-08-05 05:20:34,2026-08-05 08:19:34,179,0,,22236,Business Class,29,152,Boeing 737 MAX 8,Terminal 2,Gate 9
11117,IX-763,Air India Express,IX,#f26522,RGD,PGH,2026-08-10 14:05:34,2026-08-10 17:42:34,217,0,,11016,Premium Economy,36,171,Airbus A320neo,Terminal 2,Gate 20
11118,AI-388,Air India,AI,#ed1b24,CCU,RGD,2026-08-02 21:50:34,2026-08-02 22:52:34,62,1,HIR,26358,Business Class,13,138,Boeing 737-800,Terminal 2,Gate 12
11119,AI-362,Air India,AI,#ed1b24,HYD,HBX,2026-08-08 06:05:34,2026-08-08 09:17:34,192,1,MZS,11886,Premium Economy,34,168,Airbus A320neo,Terminal 1,Gate 21
11120,9I-939,Alliance Air,9I,#0083c9,HIR,SNE,2026-08-13 10:50:34,2026-08-13 13:04:34,134,0,,53964,First Class,15,162,Boeing 737 MAX 8,Terminal 3,Gate 8
11121,UK-269,Vistara,UK,#4b164c,IXG,KBK,2026-08-04 23:05:34,2026-08-05 02:36:34,211,0,,13162,Premium Economy,18,180,Airbus A320neo,Terminal 1,Gate 12
11122,6E-553,IndiGo,6E,#001b94,JSA,PBN,2026-08-12 21:50:34,2026-08-13 01:28:34,218,0,,4451,Economy,38,149,Boeing 737 MAX 8,Terminal 1,Gate 19
11123,6E-748,IndiGo,6E,#001b94,SSE,IXW,2026-08-04 00:50:34,2026-08-04 02:15:34,85,0,,53834,First Class,12,139,Airbus A320neo,Terminal 2,Gate 13
11124,UK-431,Vistara,UK,#4b164c,PAT,BID,2026-08-07 01:50:34,2026-08-07 05:07:34,197,0,,2863,Economy,26,178,Boeing 737-800,Terminal 3,Gate 5
11125,IX-700,Air India Express,IX,#f26522,PINJ,MEH,2026-08-10 05:35:34,2026-08-10 07:13:34,98,0,,33761,Business Class,16,136,Boeing 737-800,Terminal 1,Gate 4
11126,AI-274,Air India,AI,#ed1b24,BVC,IXM,2026-08-07 23:50:34,2026-08-08 02:59:34,189,0,,46707,First Class,22,140,Boeing 737 MAX 8,Terminal 3,Gate 24
11127,9I-843,Alliance Air,9I,#0083c9,DMU,IXR,2026-08-07 19:05:34,2026-08-07 20:33:34,88,0,,18939,Business Class,22,177,Airbus A320neo,Terminal 1,Gate 3
